8,8.511543273925781e-05,5.5789947509765625e-05,3.5762786865234375e-05,3.6716461181640625e-05,1.8835067749023438e-05
9,3.695487976074219e-05,2.6464462280273438e-05,1.7881393432617188e-05,1.6450881958007812e-05,1.5735626220703125e-05
10,2.4080276489257812e-05,1.6927719116210938e-05,3.2901763916015625e-05,0.00016450881958007812,2.7418136596679688e-05
11,3.504753112792969e-05,1.8596649169921875e-05,5.698204040527344e-05,2.574920654296875e-05,2.8848648071289062e-05
12,2.5987625122070312e-05,3.4809112548828125e-05,2.2649765014648438e-05,2.8133392333984375e-05,2.2172927856445312e-05
13,2.5033950805664062e-05,2.193450927734375e-05,2.1457672119140625e-05,2.193450927734375e-05,2.1219253540039062e-05
14,5.412101745605469e-05,4.9591064453125e-05,4.172325134277344e-05,2.8848648071289062e-05,2.288818359375e-05
15,2.4080276489257812e-05,6.508827209472656e-05,2.8133392333984375e-05,2.288818359375e-05,2.3126602172851562e-05
16,2.384185791015625e-05,2.0742416381835938e-05,1.9311904907226562e-05,2.2649765014648438e-05,2.1696090698242188e-05
17,2.4080276489257812e-05,1.9788742065429688e-05,4.792213439941406e-05,2.9325485229492188e-05,2.574920654296875e-05
18,2.6464462280273438e-05,2.6226043701171875e-05,2.6464462280273438e-05,2.3603439331054688e-05,2.3603439331054688e-05
19,2.3365020751953125e-05,2.1457672119140625e-05,1.7642974853515625e-05,2.5987625122070312e-05,2.2411346435546875e-05
20,2.5033950805664062e-05,2.288818359375e-05,2.288818359375e-05,2.4318695068359375e-05,2.1457672119140625e-05
8,3.528594970703125e-05,2.3126602172851562e-05,0.0001518726348876953,2.8133392333984375e-05,1.6689300537109375e-05
9,7.82012939453125e-05,6.103515625e-05,2.288818359375e-05,2.9087066650390625e-05,2.3365020751953125e-05
10,2.4318695068359375e-05,1.6927719116210938e-05,2.09808349609375e-05,1.621246337890625e-05,2.1457672119140625e-05
11,2.2649765014648438e-05,2.1219253540039062e-05,2.0503997802734375e-05,2.0265579223632812e-05,2.09808349609375e-05
12,2.3365020751953125e-05,2.09808349609375e-05,2.0503997802734375e-05,1.9788742065429688e-05,1.9550323486328125e-05
13,2.0503997802734375e-05,2.0742416381835938e-05,2.1219253540039062e-05,1.6927719116210938e-05,2.0265579223632812e-05
14,2.1696090698242188e-05,2.0742416381835938e-05,1.6927719116210938e-05,2.1696090698242188e-05,2.193450927734375e-05
15,2.1457672119140625e-05,2.09808349609375e-05,2.0742416381835938e-05,1.9311904907226562e-05,2.1219253540039062e-05
16,2.2649765014648438e-05,2.2411346435546875e-05,2.0742416381835938e-05,1.6927719116210938e-05,1.5735626220703125e-05
17,2.09808349609375e-05,2.1457672119140625e-05,2.1696090698242188e-05,2.002716064453125e-05,2.1219253540039062e-05
18,2.2172927856445312e-05,2.09808349609375e-05,2.002716064453125e-05,2.0742416381835938e-05,2.0265579223632812e-05
19,2.3603439331054688e-05,1.7642974853515625e-05,2.193450927734375e-05,2.002716064453125e-05,2.2649765014648438e-05
20,2.3126602172851562e-05,2.1219253540039062e-05,1.7404556274414062e-05,2.1457672119140625e-05,2.002716064453125e-05
